"year","island","island_code","region","region_code","district","district_code","population"
"2021","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",4863
"2021","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",3939
"2021","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",2973
"2021","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",583
"2022","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",3129
"2022","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4236
"2022","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3383
"2022","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3692
"2022","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",6209
"2022","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",4055
"2022","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",4622
"2022","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2719
"2022","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3828
"2022","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4685
"2022","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",5974
"2022","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",5046
"2022","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",7263
"2022","Mahe","SC1","East Mahe","SC13","Pointe Larue","SC1320PL",3750
"2022","Mahe","SC1","East Mahe","SC13","Takamaka","SC1323TA",3871
"2022","Mahe","SC1","West Mahe","SC14","Anse Boileau","SC1402AB",5382
"2022","Mahe","SC1","West Mahe","SC14","Baie Lazare","SC1406BL",4795
"2022","Mahe","SC1","West Mahe","SC14","Grand Anse Mahe","SC1413GM",4140
"2022","Mahe","SC1","West Mahe","SC14","Port Glaud","SC1421PG",3243
"2022","Mahe","SC1","North Mahe","SC15","Anse Etoile","SC1503AE",6555
"2022","Mahe","SC1","North Mahe","SC15","Beau Vallon","SC1508BV",5603
"2022","Mahe","SC1","North Mahe","SC15","Belombre","SC1510BO",4829
"2022","Mahe","SC1","North Mahe","SC15","Glacis","SC1512GL",4496
"2022","Praslin","SC2","Praslin","SC26","Baie Sainte Anne","SC2607BS",5063
"2022","Praslin","SC2","Praslin","SC26","Grand Anse Praslin","SC2614GP",4344
"2022","La Digue","SC3","La Digue","SC36","La Digue and Inner Islands","SC3615LD",3934
"2022","Other Islands","SC4","Other Islands","SC47","Other Islands","SC4726OI",1032
"2023","Mahe","SC1","Central 1 Mahe","SC11","Bel Air","SC1109BA",3126
"2023","Mahe","SC1","Central 1 Mahe","SC11","English River","SC1116ER",4232
"2023","Mahe","SC1","Central 1 Mahe","SC11","Mont Buxton","SC1117MB",3380
"2023","Mahe","SC1","Central 1 Mahe","SC11","Saint Louis","SC1122SL",3689
"2023","Mahe","SC1","Central 1 Mahe","SC11","Ile Perseverance","SC1127PI",6203
"2023","Mahe","SC1","Central 2 Mahe","SC12","Mont Fleuri","SC1218MF",4052
"2023","Mahe","SC1","Central 2 Mahe","SC12","Plaisance","SC1219PA",4619
"2023","Mahe","SC1","Central 2 Mahe","SC12","Les Mamelles","SC1224LM",2717
"2023","Mahe","SC1","Central 2 Mahe","SC12","Roche Caiman","SC1225RC",3825
"2023","Mahe","SC1","East Mahe","SC13","Anse Aux Pins","SC1301AA",4681
"2023","Mahe","SC1","East Mahe","SC13","Au Cap","SC1304AC",5968
"2023","Mahe","SC1","East Mahe","SC13","Anse Royale","SC1305AR",5041
"2023","Mahe","SC1","East Mahe","SC13","Cascade","SC1311CA",7257
