"year","district","age_group","births"
2016,"Anse Aux Pins","<15",0
2016,"Anse Aux Pins","15-19",9
2016,"Anse Aux Pins","20-24",26
2016,"Anse Aux Pins","25-29",23
2016,"Anse Aux Pins","30-34",19
2016,"Anse Aux Pins","35-39",10
2016,"Anse Aux Pins","40-44",1
2016,"Anse Aux Pins","45+",0
2016,"Anse Aux Pins","Not Stated",0
2016,"Anse Boileau","<15",0
2016,"Anse Boileau","15-19",10
2016,"Anse Boileau","20-24",14
2016,"Anse Boileau","25-29",23
2016,"Anse Boileau","30-34",16
2016,"Anse Boileau","35-39",7
2016,"Anse Boileau","40-44",4
2016,"Anse Boileau","45+",0
2016,"Anse Boileau","Not Stated",0
2016,"Anse Etoile","<15",0
2016,"Anse Etoile","15-19",7
2016,"Anse Etoile","20-24",28
2016,"Anse Etoile","25-29",25
2016,"Anse Etoile","30-34",10
2016,"Anse Etoile","35-39",21
2016,"Anse Etoile","40-44",3
2016,"Anse Etoile","45+",0
2016,"Anse Etoile","Not Stated",0
2016,"Anse Royale","<15",0
2016,"Anse Royale","15-19",7
2016,"Anse Royale","20-24",11
2016,"Anse Royale","25-29",16
2016,"Anse Royale","30-34",5
2016,"Anse Royale","35-39",5
2016,"Anse Royale","40-44",2
2016,"Anse Royale","45+",0
2016,"Anse Royale","Not Stated",0
2016,"Au Cap","<15",0
2016,"Au Cap","15-19",6
2016,"Au Cap","20-24",19
2016,"Au Cap","25-29",17
2016,"Au Cap","30-34",12
2016,"Au Cap","35-39",8
2016,"Au Cap","40-44",6
2016,"Au Cap","45+",0
2016,"Au Cap","Not Stated",0
2016,"Baie Lazare","<15",0
2016,"Baie Lazare","15-19",9
2016,"Baie Lazare","20-24",12
2016,"Baie Lazare","25-29",11
2016,"Baie Lazare","30-34",13
2016,"Baie Lazare","35-39",5
2016,"Baie Lazare","40-44",2
2016,"Baie Lazare","45+",0
2016,"Baie Lazare","Not Stated",0
2016,"Baie Sainte Anne","<15",0
2016,"Baie Sainte Anne","15-19",16
2016,"Baie Sainte Anne","20-24",23
2016,"Baie Sainte Anne","25-29",12
2016,"Baie Sainte Anne","30-34",14
2016,"Baie Sainte Anne","35-39",3
2016,"Baie Sainte Anne","40-44",4
2016,"Baie Sainte Anne","45+",0
2016,"Baie Sainte Anne","Not Stated",0
2016,"Beau Vallon","<15",0
2016,"Beau Vallon","15-19",5
2016,"Beau Vallon","20-24",10
2016,"Beau Vallon","25-29",20
2016,"Beau Vallon","30-34",15
2016,"Beau Vallon","35-39",14
2016,"Beau Vallon","40-44",3
2016,"Beau Vallon","45+",1
2016,"Beau Vallon","Not Stated",0
2016,"Bel Air","<15",0
2016,"Bel Air","15-19",7
2016,"Bel Air","20-24",11
2016,"Bel Air","25-29",14
2016,"Bel Air","30-34",11
2016,"Bel Air","35-39",5
2016,"Bel Air","40-44",2
2016,"Bel Air","45+",0
2016,"Bel Air","Not Stated",0
2016,"Belombre","<15",0
2016,"Belombre","15-19",6
2016,"Belombre","20-24",9
2016,"Belombre","25-29",11
2016,"Belombre","30-34",17
2016,"Belombre","35-39",12
2016,"Belombre","40-44",2
2016,"Belombre","45+",0
2016,"Belombre","Not Stated",0
2016,"Cascade","<15",0
2016,"Cascade","15-19",11
2016,"Cascade","20-24",22
2016,"Cascade","25-29",11
2016,"Cascade","30-34",22
2016,"Cascade","35-39",11
2016,"Cascade","40-44",4
2016,"Cascade","45+",0
2016,"Cascade","Not Stated",0
2016,"English River","<15",0
2016,"English River","15-19",31
2016,"English River","20-24",44
2016,"English River","25-29",39
2016,"English River","30-34",23
2016,"English River","35-39",20
2016,"English River","40-44",7
2016,"English River","45+",0
2016,"English River","Not Stated",0
2016,"Glacis","<15",0
2016,"Glacis","15-19",7
2016,"Glacis","20-24",19
2016,"Glacis","25-29",13
2016,"Glacis","30-34",16
2016,"Glacis","35-39",9
2016,"Glacis","40-44",6
2016,"Glacis","45+",0
2016,"Glacis","Not Stated",0
2016,"Grand Anse Mahe","<15",0
2016,"Grand Anse Mahe","15-19",14
2016,"Grand Anse Mahe","20-24",12
2016,"Grand Anse Mahe","25-29",15
2016,"Grand Anse Mahe","30-34",10
2016,"Grand Anse Mahe","35-39",5
2016,"Grand Anse Mahe","40-44",1
2016,"Grand Anse Mahe","45+",0
2016,"Grand Anse Mahe","Not Stated",0
2016,"Grand Anse Praslin","<15",1
2016,"Grand Anse Praslin","15-19",13
2016,"Grand Anse Praslin","20-24",10
2016,"Grand Anse Praslin","25-29",23
2016,"Grand Anse Praslin","30-34",12
2016,"Grand Anse Praslin","35-39",3
2016,"Grand Anse Praslin","40-44",2
2016,"Grand Anse Praslin","45+",0
2016,"Grand Anse Praslin","Not Stated",0
2016,"Ile Perseverance","<15",NA
2016,"Ile Perseverance","15-19",NA
2016,"Ile Perseverance","20-24",NA
2016,"Ile Perseverance","25-29",NA
2016,"Ile Perseverance","30-34",NA
2016,"Ile Perseverance","35-39",NA
2016,"Ile Perseverance","40-44",NA
2016,"Ile Perseverance","45+",NA
2016,"Ile Perseverance","Not Stated",NA
2016,"La Digue and Inner Islands","<15",0
2016,"La Digue and Inner Islands","15-19",2
2016,"La Digue and Inner Islands","20-24",13
2016,"La Digue and Inner Islands","25-29",10
2016,"La Digue and Inner Islands","30-34",10
2016,"La Digue and Inner Islands","35-39",6
2016,"La Digue and Inner Islands","40-44",0
2016,"La Digue and Inner Islands","45+",0
2016,"La Digue and Inner Islands","Not Stated",0
2016,"Les Mamelles","<15",0
2016,"Les Mamelles","15-19",5
2016,"Les Mamelles","20-24",13
2016,"Les Mamelles","25-29",17
2016,"Les Mamelles","30-34",6
2016,"Les Mamelles","35-39",10
2016,"Les Mamelles","40-44",0
2016,"Les Mamelles","45+",0
2016,"Les Mamelles","Not Stated",0
2016,"Mont Buxton","<15",0
2016,"Mont Buxton","15-19",12
2016,"Mont Buxton","20-24",21
2016,"Mont Buxton","25-29",13
2016,"Mont Buxton","30-34",13
2016,"Mont Buxton","35-39",7
2016,"Mont Buxton","40-44",5
2016,"Mont Buxton","45+",0
2016,"Mont Buxton","Not Stated",0
2016,"Mont Fleuri","<15",0
2016,"Mont Fleuri","15-19",4
2016,"Mont Fleuri","20-24",7
2016,"Mont Fleuri","25-29",17
2016,"Mont Fleuri","30-34",12
2016,"Mont Fleuri","35-39",8
2016,"Mont Fleuri","40-44",4
2016,"Mont Fleuri","45+",0
2016,"Mont Fleuri","Not Stated",0
2016,"Other Islands","<15",0
2016,"Other Islands","15-19",0
2016,"Other Islands","20-24",0
2016,"Other Islands","25-29",0
2016,"Other Islands","30-34",0
2016,"Other Islands","35-39",1
2016,"Other Islands","40-44",0
2016,"Other Islands","45+",0
2016,"Other Islands","Not Stated",0
2016,"Plaisance","<15",0
2016,"Plaisance","15-19",5
2016,"Plaisance","20-24",20
2016,"Plaisance","25-29",18
2016,"Plaisance","30-34",5
2016,"Plaisance","35-39",10
2016,"Plaisance","40-44",2
2016,"Plaisance","45+",0
2016,"Plaisance","Not Stated",0
2016,"Pointe Larue","<15",1
2016,"Pointe Larue","15-19",3
2016,"Pointe Larue","20-24",17
2016,"Pointe Larue","25-29",17
2016,"Pointe Larue","30-34",15
2016,"Pointe Larue","35-39",7
2016,"Pointe Larue","40-44",1
2016,"Pointe Larue","45+",0
2016,"Pointe Larue","Not Stated",0
2016,"Port Glaud","<15",0
2016,"Port Glaud","15-19",2
2016,"Port Glaud","20-24",6
2016,"Port Glaud","25-29",4
2016,"Port Glaud","30-34",7
2016,"Port Glaud","35-39",6
2016,"Port Glaud","40-44",5
2016,"Port Glaud","45+",0
2016,"Port Glaud","Not Stated",0
2016,"Roche Caiman","<15",1
2016,"Roche Caiman","15-19",4
2016,"Roche Caiman","20-24",19
2016,"Roche Caiman","25-29",13
2016,"Roche Caiman","30-34",18
2016,"Roche Caiman","35-39",4
2016,"Roche Caiman","40-44",2
2016,"Roche Caiman","45+",0
2016,"Roche Caiman","Not Stated",0
2016,"Saint Louis","<15",0
2016,"Saint Louis","15-19",5
2016,"Saint Louis","20-24",18
2016,"Saint Louis","25-29",17
2016,"Saint Louis","30-34",11
2016,"Saint Louis","35-39",9
2016,"Saint Louis","40-44",3
2016,"Saint Louis","45+",0
2016,"Saint Louis","Not Stated",0
2016,"Takamaka","<15",0
2016,"Takamaka","15-19",6
2016,"Takamaka","20-24",13
2016,"Takamaka","25-29",11
2016,"Takamaka","30-34",11
2016,"Takamaka","35-39",7
2016,"Takamaka","40-44",1
2016,"Takamaka","45+",0
2016,"Takamaka","Not Stated",0
2016,"Not Stated","<15",NA
2016,"Not Stated","15-19",NA
2016,"Not Stated","20-24",NA
2016,"Not Stated","25-29",NA
2016,"Not Stated","30-34",NA
2016,"Not Stated","35-39",NA
2016,"Not Stated","40-44",NA
2016,"Not Stated","45+",NA
2016,"Not Stated","Not Stated",NA
2018,"Anse Aux Pins","<15",0
2018,"Anse Aux Pins","15-19",13
2018,"Anse Aux Pins","20-24",20
2018,"Anse Aux Pins","25-29",28
2018,"Anse Aux Pins","30-34",15
2018,"Anse Aux Pins","35-39",11
2018,"Anse Aux Pins","40-44",2
2018,"Anse Aux Pins","45+",1
2018,"Anse Aux Pins","Not Stated",0
2018,"Anse Boileau","<15",0
2018,"Anse Boileau","15-19",10
2018,"Anse Boileau","20-24",17
2018,"Anse Boileau","25-29",16
2018,"Anse Boileau","30-34",13
2018,"Anse Boileau","35-39",5
2018,"Anse Boileau","40-44",3
2018,"Anse Boileau","45+",0
2018,"Anse Boileau","Not Stated",0
2018,"Anse Etoile","<15",0
2018,"Anse Etoile","15-19",6
2018,"Anse Etoile","20-24",17
2018,"Anse Etoile","25-29",22
2018,"Anse Etoile","30-34",22
2018,"Anse Etoile","35-39",11
2018,"Anse Etoile","40-44",7
2018,"Anse Etoile","45+",0
2018,"Anse Etoile","Not Stated",0
2018,"Anse Royale","<15",0
2018,"Anse Royale","15-19",5
2018,"Anse Royale","20-24",11
2018,"Anse Royale","25-29",12
2018,"Anse Royale","30-34",13
2018,"Anse Royale","35-39",9
2018,"Anse Royale","40-44",8
2018,"Anse Royale","45+",0
2018,"Anse Royale","Not Stated",0
2018,"Au Cap","<15",0
2018,"Au Cap","15-19",7
2018,"Au Cap","20-24",18
2018,"Au Cap","25-29",14
2018,"Au Cap","30-34",12
2018,"Au Cap","35-39",4
2018,"Au Cap","40-44",5
2018,"Au Cap","45+",0
2018,"Au Cap","Not Stated",0
2018,"Baie Lazare","<15",0
2018,"Baie Lazare","15-19",15
2018,"Baie Lazare","20-24",12
2018,"Baie Lazare","25-29",12
2018,"Baie Lazare","30-34",13
2018,"Baie Lazare","35-39",8
2018,"Baie Lazare","40-44",5
2018,"Baie Lazare","45+",0
2018,"Baie Lazare","Not Stated",0
2018,"Baie Sainte Anne","<15",0
2018,"Baie Sainte Anne","15-19",7
2018,"Baie Sainte Anne","20-24",21
2018,"Baie Sainte Anne","25-29",18
2018,"Baie Sainte Anne","30-34",9
2018,"Baie Sainte Anne","35-39",11
2018,"Baie Sainte Anne","40-44",3
2018,"Baie Sainte Anne","45+",0
2018,"Baie Sainte Anne","Not Stated",0
2018,"Beau Vallon","<15",0
2018,"Beau Vallon","15-19",10
2018,"Beau Vallon","20-24",22
2018,"Beau Vallon","25-29",22
2018,"Beau Vallon","30-34",19
2018,"Beau Vallon","35-39",7
2018,"Beau Vallon","40-44",6
2018,"Beau Vallon","45+",0
2018,"Beau Vallon","Not Stated",0
2018,"Bel Air","<15",1
2018,"Bel Air","15-19",1
2018,"Bel Air","20-24",6
2018,"Bel Air","25-29",7
2018,"Bel Air","30-34",2
2018,"Bel Air","35-39",5
2018,"Bel Air","40-44",0
2018,"Bel Air","45+",0
2018,"Bel Air","Not Stated",0
2018,"Belombre","<15",0
2018,"Belombre","15-19",5
2018,"Belombre","20-24",11
2018,"Belombre","25-29",13
2018,"Belombre","30-34",14
2018,"Belombre","35-39",3
2018,"Belombre","40-44",3
2018,"Belombre","45+",0
2018,"Belombre","Not Stated",0
2018,"Cascade","<15",0
2018,"Cascade","15-19",12
2018,"Cascade","20-24",14
2018,"Cascade","25-29",15
2018,"Cascade","30-34",12
2018,"Cascade","35-39",9
2018,"Cascade","40-44",6
2018,"Cascade","45+",0
2018,"Cascade","Not Stated",0
2018,"English River","<15",0
2018,"English River","15-19",27
2018,"English River","20-24",41
2018,"English River","25-29",42
2018,"English River","30-34",30
2018,"English River","35-39",25
2018,"English River","40-44",5
2018,"English River","45+",0
2018,"English River","Not Stated",0
2018,"Glacis","<15",0
2018,"Glacis","15-19",8
2018,"Glacis","20-24",11
2018,"Glacis","25-29",12
2018,"Glacis","30-34",15
2018,"Glacis","35-39",7
2018,"Glacis","40-44",1
2018,"Glacis","45+",0
2018,"Glacis","Not Stated",0
2018,"Grand Anse Mahe","<15",0
2018,"Grand Anse Mahe","15-19",9
2018,"Grand Anse Mahe","20-24",11
2018,"Grand Anse Mahe","25-29",11
2018,"Grand Anse Mahe","30-34",11
2018,"Grand Anse Mahe","35-39",14
2018,"Grand Anse Mahe","40-44",6
2018,"Grand Anse Mahe","45+",0
2018,"Grand Anse Mahe","Not Stated",0
2018,"Grand Anse Praslin","<15",1
2018,"Grand Anse Praslin","15-19",10
2018,"Grand Anse Praslin","20-24",16
2018,"Grand Anse Praslin","25-29",15
2018,"Grand Anse Praslin","30-34",10
2018,"Grand Anse Praslin","35-39",12
2018,"Grand Anse Praslin","40-44",2
2018,"Grand Anse Praslin","45+",0
2018,"Grand Anse Praslin","Not Stated",0
2018,"Ile Perseverance","<15",NA
2018,"Ile Perseverance","15-19",NA
2018,"Ile Perseverance","20-24",NA
2018,"Ile Perseverance","25-29",NA
2018,"Ile Perseverance","30-34",NA
2018,"Ile Perseverance","35-39",NA
2018,"Ile Perseverance","40-44",NA
2018,"Ile Perseverance","45+",NA
2018,"Ile Perseverance","Not Stated",NA
2018,"La Digue and Inner Islands","<15",0
2018,"La Digue and Inner Islands","15-19",6
2018,"La Digue and Inner Islands","20-24",13
2018,"La Digue and Inner Islands","25-29",10
2018,"La Digue and Inner Islands","30-34",12
2018,"La Digue and Inner Islands","35-39",2
2018,"La Digue and Inner Islands","40-44",2
2018,"La Digue and Inner Islands","45+",0
2018,"La Digue and Inner Islands","Not Stated",0
2018,"Les Mamelles","<15",0
2018,"Les Mamelles","15-19",3
2018,"Les Mamelles","20-24",14
2018,"Les Mamelles","25-29",11
2018,"Les Mamelles","30-34",8
2018,"Les Mamelles","35-39",5
2018,"Les Mamelles","40-44",2
2018,"Les Mamelles","45+",0
2018,"Les Mamelles","Not Stated",0
2018,"Mont Buxton","<15",0
2018,"Mont Buxton","15-19",5
2018,"Mont Buxton","20-24",18
2018,"Mont Buxton","25-29",27
2018,"Mont Buxton","30-34",14
2018,"Mont Buxton","35-39",9
2018,"Mont Buxton","40-44",1
2018,"Mont Buxton","45+",0
2018,"Mont Buxton","Not Stated",0
2018,"Mont Fleuri","<15",0
2018,"Mont Fleuri","15-19",6
2018,"Mont Fleuri","20-24",21
2018,"Mont Fleuri","25-29",15
2018,"Mont Fleuri","30-34",14
2018,"Mont Fleuri","35-39",6
2018,"Mont Fleuri","40-44",3
2018,"Mont Fleuri","45+",0
2018,"Mont Fleuri","Not Stated",0
2018,"Other Islands","<15",NA
2018,"Other Islands","15-19",NA
2018,"Other Islands","20-24",NA
2018,"Other Islands","25-29",NA
2018,"Other Islands","30-34",NA
2018,"Other Islands","35-39",NA
2018,"Other Islands","40-44",NA
2018,"Other Islands","45+",NA
2018,"Other Islands","Not Stated",NA
2018,"Plaisance","<15",2
2018,"Plaisance","15-19",7
2018,"Plaisance","20-24",17
2018,"Plaisance","25-29",21
2018,"Plaisance","30-34",17
2018,"Plaisance","35-39",6
2018,"Plaisance","40-44",1
2018,"Plaisance","45+",1
2018,"Plaisance","Not Stated",0
2018,"Pointe Larue","<15",0
2018,"Pointe Larue","15-19",9
2018,"Pointe Larue","20-24",21
2018,"Pointe Larue","25-29",15
2018,"Pointe Larue","30-34",8
2018,"Pointe Larue","35-39",9
2018,"Pointe Larue","40-44",3
2018,"Pointe Larue","45+",0
2018,"Pointe Larue","Not Stated",0
2018,"Port Glaud","<15",0
2018,"Port Glaud","15-19",7
2018,"Port Glaud","20-24",9
2018,"Port Glaud","25-29",12
2018,"Port Glaud","30-34",6
2018,"Port Glaud","35-39",7
2018,"Port Glaud","40-44",4
2018,"Port Glaud","45+",0
2018,"Port Glaud","Not Stated",0
2018,"Roche Caiman","<15",0
2018,"Roche Caiman","15-19",10
2018,"Roche Caiman","20-24",16
2018,"Roche Caiman","25-29",13
2018,"Roche Caiman","30-34",10
2018,"Roche Caiman","35-39",4
2018,"Roche Caiman","40-44",1
2018,"Roche Caiman","45+",0
2018,"Roche Caiman","Not Stated",0
2018,"Saint Louis","<15",1
2018,"Saint Louis","15-19",8
2018,"Saint Louis","20-24",19
2018,"Saint Louis","25-29",14
2018,"Saint Louis","30-34",14
2018,"Saint Louis","35-39",11
2018,"Saint Louis","40-44",2
2018,"Saint Louis","45+",0
2018,"Saint Louis","Not Stated",0
2018,"Takamaka","<15",0
2018,"Takamaka","15-19",6
2018,"Takamaka","20-24",16
2018,"Takamaka","25-29",7
2018,"Takamaka","30-34",9
2018,"Takamaka","35-39",6
2018,"Takamaka","40-44",6
2018,"Takamaka","45+",0
2018,"Takamaka","Not Stated",0
2018,"Not Stated","<15",NA
2018,"Not Stated","15-19",NA
2018,"Not Stated","20-24",NA
2018,"Not Stated","25-29",NA
2018,"Not Stated","30-34",NA
2018,"Not Stated","35-39",NA
2018,"Not Stated","40-44",NA
2018,"Not Stated","45+",NA
2018,"Not Stated","Not Stated",NA
2017,"Anse Aux Pins","<15",0
2017,"Anse Aux Pins","15-19",14
2017,"Anse Aux Pins","20-24",27
2017,"Anse Aux Pins","25-29",18
2017,"Anse Aux Pins","30-34",17
2017,"Anse Aux Pins","35-39",9
2017,"Anse Aux Pins","40-44",2
2017,"Anse Aux Pins","45+",0
2017,"Anse Aux Pins","Not Stated",0
2017,"Anse Boileau","<15",0
2017,"Anse Boileau","15-19",7
2017,"Anse Boileau","20-24",20
2017,"Anse Boileau","25-29",14
2017,"Anse Boileau","30-34",12
2017,"Anse Boileau","35-39",9
2017,"Anse Boileau","40-44",3
2017,"Anse Boileau","45+",0
2017,"Anse Boileau","Not Stated",0
2017,"Anse Etoile","<15",0
2017,"Anse Etoile","15-19",5
2017,"Anse Etoile","20-24",17
2017,"Anse Etoile","25-29",22
2017,"Anse Etoile","30-34",9
2017,"Anse Etoile","35-39",11
2017,"Anse Etoile","40-44",7
2017,"Anse Etoile","45+",0
2017,"Anse Etoile","Not Stated",0
2017,"Anse Royale","<15",0
2017,"Anse Royale","15-19",7
2017,"Anse Royale","20-24",14
2017,"Anse Royale","25-29",23
2017,"Anse Royale","30-34",13
2017,"Anse Royale","35-39",5
2017,"Anse Royale","40-44",3
2017,"Anse Royale","45+",0
2017,"Anse Royale","Not Stated",0
2017,"Au Cap","<15",0
2017,"Au Cap","15-19",9
2017,"Au Cap","20-24",15
2017,"Au Cap","25-29",13
2017,"Au Cap","30-34",10
2017,"Au Cap","35-39",8
2017,"Au Cap","40-44",3
2017,"Au Cap","45+",0
2017,"Au Cap","Not Stated",0
2017,"Baie Lazare","<15",0
2017,"Baie Lazare","15-19",10
2017,"Baie Lazare","20-24",17
2017,"Baie Lazare","25-29",15
2017,"Baie Lazare","30-34",19
2017,"Baie Lazare","35-39",8
2017,"Baie Lazare","40-44",6
2017,"Baie Lazare","45+",0
2017,"Baie Lazare","Not Stated",0
2017,"Baie Sainte Anne","<15",1
2017,"Baie Sainte Anne","15-19",11
2017,"Baie Sainte Anne","20-24",32
2017,"Baie Sainte Anne","25-29",15
2017,"Baie Sainte Anne","30-34",15
2017,"Baie Sainte Anne","35-39",4
2017,"Baie Sainte Anne","40-44",3
2017,"Baie Sainte Anne","45+",2
2017,"Baie Sainte Anne","Not Stated",0
2017,"Beau Vallon","<15",0
2017,"Beau Vallon","15-19",3
2017,"Beau Vallon","20-24",21
2017,"Beau Vallon","25-29",25
2017,"Beau Vallon","30-34",18
2017,"Beau Vallon","35-39",13
2017,"Beau Vallon","40-44",1
2017,"Beau Vallon","45+",0
2017,"Beau Vallon","Not Stated",0
2017,"Bel Air","<15",0
2017,"Bel Air","15-19",2
2017,"Bel Air","20-24",6
2017,"Bel Air","25-29",7
2017,"Bel Air","30-34",7
2017,"Bel Air","35-39",5
2017,"Bel Air","40-44",0
2017,"Bel Air","45+",0
2017,"Bel Air","Not Stated",0
2017,"Belombre","<15",0
2017,"Belombre","15-19",6
2017,"Belombre","20-24",23
2017,"Belombre","25-29",20
2017,"Belombre","30-34",19
2017,"Belombre","35-39",8
2017,"Belombre","40-44",0
2017,"Belombre","45+",0
2017,"Belombre","Not Stated",0
2017,"Cascade","<15",0
2017,"Cascade","15-19",11
2017,"Cascade","20-24",20
2017,"Cascade","25-29",16
2017,"Cascade","30-34",18
2017,"Cascade","35-39",6
2017,"Cascade","40-44",0
2017,"Cascade","45+",0
2017,"Cascade","Not Stated",0
2017,"English River","<15",0
2017,"English River","15-19",39
2017,"English River","20-24",38
2017,"English River","25-29",36
2017,"English River","30-34",27
2017,"English River","35-39",18
2017,"English River","40-44",3
2017,"English River","45+",0
2017,"English River","Not Stated",0
2017,"Glacis","<15",1
2017,"Glacis","15-19",7
2017,"Glacis","20-24",21
2017,"Glacis","25-29",14
2017,"Glacis","30-34",15
2017,"Glacis","35-39",7
2017,"Glacis","40-44",0
2017,"Glacis","45+",0
2017,"Glacis","Not Stated",0
2017,"Grand Anse Mahe","<15",1
2017,"Grand Anse Mahe","15-19",6
2017,"Grand Anse Mahe","20-24",14
2017,"Grand Anse Mahe","25-29",21
2017,"Grand Anse Mahe","30-34",4
2017,"Grand Anse Mahe","35-39",8
2017,"Grand Anse Mahe","40-44",2
2017,"Grand Anse Mahe","45+",0
2017,"Grand Anse Mahe","Not Stated",0
2017,"Grand Anse Praslin","<15",0
2017,"Grand Anse Praslin","15-19",11
2017,"Grand Anse Praslin","20-24",14
2017,"Grand Anse Praslin","25-29",20
2017,"Grand Anse Praslin","30-34",13
2017,"Grand Anse Praslin","35-39",9
2017,"Grand Anse Praslin","40-44",0
2017,"Grand Anse Praslin","45+",0
2017,"Grand Anse Praslin","Not Stated",0
2017,"Ile Perseverance","<15",NA
2017,"Ile Perseverance","15-19",NA
2017,"Ile Perseverance","20-24",NA
2017,"Ile Perseverance","25-29",NA
2017,"Ile Perseverance","30-34",NA
2017,"Ile Perseverance","35-39",NA
2017,"Ile Perseverance","40-44",NA
2017,"Ile Perseverance","45+",NA
2017,"Ile Perseverance","Not Stated",NA
2017,"La Digue and Inner Islands","<15",0
2017,"La Digue and Inner Islands","15-19",5
2017,"La Digue and Inner Islands","20-24",20
2017,"La Digue and Inner Islands","25-29",9
2017,"La Digue and Inner Islands","30-34",11
2017,"La Digue and Inner Islands","35-39",6
2017,"La Digue and Inner Islands","40-44",2
2017,"La Digue and Inner Islands","45+",0
2017,"La Digue and Inner Islands","Not Stated",0
2017,"Les Mamelles","<15",0
2017,"Les Mamelles","15-19",5
2017,"Les Mamelles","20-24",11
2017,"Les Mamelles","25-29",10
2017,"Les Mamelles","30-34",9
2017,"Les Mamelles","35-39",5
2017,"Les Mamelles","40-44",0
2017,"Les Mamelles","45+",0
2017,"Les Mamelles","Not Stated",0
2017,"Mont Buxton","<15",0
2017,"Mont Buxton","15-19",7
2017,"Mont Buxton","20-24",21
2017,"Mont Buxton","25-29",20
2017,"Mont Buxton","30-34",11
2017,"Mont Buxton","35-39",11
2017,"Mont Buxton","40-44",1
2017,"Mont Buxton","45+",0
2017,"Mont Buxton","Not Stated",0
2017,"Mont Fleuri","<15",0
2017,"Mont Fleuri","15-19",4
2017,"Mont Fleuri","20-24",20
2017,"Mont Fleuri","25-29",12
2017,"Mont Fleuri","30-34",8
2017,"Mont Fleuri","35-39",10
2017,"Mont Fleuri","40-44",0
2017,"Mont Fleuri","45+",0
2017,"Mont Fleuri","Not Stated",0
2017,"Other Islands","<15",NA
2017,"Other Islands","15-19",NA
2017,"Other Islands","20-24",NA
2017,"Other Islands","25-29",NA
2017,"Other Islands","30-34",NA
2017,"Other Islands","35-39",NA
2017,"Other Islands","40-44",NA
2017,"Other Islands","45+",NA
2017,"Other Islands","Not Stated",NA
2017,"Plaisance","<15",0
2017,"Plaisance","15-19",4
2017,"Plaisance","20-24",16
2017,"Plaisance","25-29",32
2017,"Plaisance","30-34",10
2017,"Plaisance","35-39",7
2017,"Plaisance","40-44",3
2017,"Plaisance","45+",0
2017,"Plaisance","Not Stated",0
2017,"Pointe Larue","<15",0
2017,"Pointe Larue","15-19",4
2017,"Pointe Larue","20-24",21
2017,"Pointe Larue","25-29",18
2017,"Pointe Larue","30-34",16
2017,"Pointe Larue","35-39",6
2017,"Pointe Larue","40-44",1
2017,"Pointe Larue","45+",0
2017,"Pointe Larue","Not Stated",0
2017,"Port Glaud","<15",0
2017,"Port Glaud","15-19",7
2017,"Port Glaud","20-24",14
2017,"Port Glaud","25-29",14
2017,"Port Glaud","30-34",14
2017,"Port Glaud","35-39",9
2017,"Port Glaud","40-44",4
2017,"Port Glaud","45+",1
2017,"Port Glaud","Not Stated",0
2017,"Roche Caiman","<15",0
2017,"Roche Caiman","15-19",4
2017,"Roche Caiman","20-24",16
2017,"Roche Caiman","25-29",9
2017,"Roche Caiman","30-34",9
2017,"Roche Caiman","35-39",3
2017,"Roche Caiman","40-44",2
2017,"Roche Caiman","45+",0
2017,"Roche Caiman","Not Stated",0
2017,"Saint Louis","<15",0
2017,"Saint Louis","15-19",7
2017,"Saint Louis","20-24",14
2017,"Saint Louis","25-29",20
2017,"Saint Louis","30-34",5
2017,"Saint Louis","35-39",2
2017,"Saint Louis","40-44",4
2017,"Saint Louis","45+",0
2017,"Saint Louis","Not Stated",0
2017,"Takamaka","<15",0
2017,"Takamaka","15-19",6
2017,"Takamaka","20-24",6
2017,"Takamaka","25-29",6
2017,"Takamaka","30-34",7
2017,"Takamaka","35-39",3
2017,"Takamaka","40-44",1
2017,"Takamaka","45+",0
2017,"Takamaka","Not Stated",0
2017,"Not Stated","<15",NA
2017,"Not Stated","15-19",NA
2017,"Not Stated","20-24",NA
2017,"Not Stated","25-29",NA
2017,"Not Stated","30-34",NA
2017,"Not Stated","35-39",NA
2017,"Not Stated","40-44",NA
2017,"Not Stated","45+",NA
2017,"Not Stated","Not Stated",NA
2019,"Anse Aux Pins","<15",1
2019,"Anse Aux Pins","15-19",15
2019,"Anse Aux Pins","20-24",23
2019,"Anse Aux Pins","25-29",23
2019,"Anse Aux Pins","30-34",7
2019,"Anse Aux Pins","35-39",14
2019,"Anse Aux Pins","40-44",2
2019,"Anse Aux Pins","45+",0
2019,"Anse Aux Pins","Not Stated",0
2019,"Anse Boileau","<15",0
2019,"Anse Boileau","15-19",10
2019,"Anse Boileau","20-24",23
2019,"Anse Boileau","25-29",11
2019,"Anse Boileau","30-34",18
2019,"Anse Boileau","35-39",7
2019,"Anse Boileau","40-44",3
2019,"Anse Boileau","45+",0
2019,"Anse Boileau","Not Stated",0
2019,"Anse Etoile","<15",1
2019,"Anse Etoile","15-19",9
2019,"Anse Etoile","20-24",12
2019,"Anse Etoile","25-29",20
2019,"Anse Etoile","30-34",22
2019,"Anse Etoile","35-39",9
2019,"Anse Etoile","40-44",3
2019,"Anse Etoile","45+",0
2019,"Anse Etoile","Not Stated",0
2019,"Anse Royale","<15",0
2019,"Anse Royale","15-19",14
2019,"Anse Royale","20-24",18
2019,"Anse Royale","25-29",14
2019,"Anse Royale","30-34",10
2019,"Anse Royale","35-39",9
2019,"Anse Royale","40-44",5
